subregionId,postalCode
SG,560601
SG,560602
SG,560603
SG,560604
SG,560605
SG,560606
SG,560607
SG,560608
SG,560609
SG,560610
SG,560611
SG,560612
SG,560613
SG,560614
SG,560615
SG,560616
SG,560617
SG,560618
SG,560619
SG,560620
SG,560621
SG,560622
SG,560623
SG,560624
SG,560625
SG,560626
SG,560627
SG,560628
SG,560629
SG,560630
SG,560631
SG,560632
SG,560633
SG,560634
SG,560635
SG,560636
SG,560637
SG,560638
SG,560639
SG,560640
SG,560641
SG,560642
SG,560643
SG,560644
SG,560645
SG,560646
SG,560647
SG,560648
SG,560649
SG,560650
SG,560651
SG,561602
SG,561613
SG,561632
SG,561638
SG,561651
SG,562651
SG,563651
SG,567762
SG,567763
SG,567764
SG,567765
SG,567766
SG,567767
SG,567768
SG,567769
SG,567770
SG,567771
SG,567772
SG,567773
SG,567774
SG,567775
SG,567776
SG,567777
SG,567778
SG,567779
SG,567780
SG,567781
SG,567782
SG,567783
SG,567784
SG,567785
SG,567786
SG,567787
SG,567788
SG,567789
SG,567790
SG,567791
SG,567792
SG,567793
SG,567794
SG,567795
SG,567796
SG,567797
SG,567798
SG,567799
SG,567800
SG,567801
SG,567802
SG,567803
SG,567804
SG,567805
SG,567806
SG,567807
SG,567808
SG,567809
SG,567810
SG,567811
SG,567812
SG,567813
SG,567814
SG,567815
SG,567816
SG,567817
SG,567818
SG,567819
SG,567820
SG,567821
SG,567822
SG,567823
SG,567826
SG,567827
SG,567828
SG,567829
SG,567830
SG,567831
SG,567832
SG,567833
SG,567834
SG,567835
SG,567836
SG,567837
SG,567838
SG,567839
SG,567840
SG,567841
SG,567842
SG,567843
SG,567844
SG,567845
SG,567846
SG,567847
SG,567848
SG,567849
SG,567850
SG,567851
SG,567852
SG,567853
SG,567854
SG,567855
SG,567856
SG,567857
SG,567858
SG,567859
SG,567860
SG,567861
SG,567862
SG,567863
SG,567864
SG,567865
SG,567866
SG,567867
SG,567868
SG,567869
SG,567870
SG,567871
SG,567872
SG,567873
SG,567874
SG,567875
SG,567876
SG,567877
SG,567878
SG,567879
SG,567880
SG,567881
SG,567882
SG,567883
SG,567884
SG,567885
SG,567886
SG,567887
SG,567888
SG,567889
SG,567890
SG,567891
SG,567892
SG,567893
SG,567894
SG,567895
SG,567896
SG,567897
SG,567898
SG,567899
SG,567900
SG,567901
SG,567902
SG,567903
SG,567904
SG,567905
SG,567906
SG,567907
SG,567908
SG,567909
SG,567910
SG,567911
SG,567912
SG,567913
SG,567914
SG,567915
SG,567916
SG,567917
SG,567918
SG,567919
SG,567920
SG,567921
SG,567922
SG,567923
SG,567924
SG,567925
SG,567926
SG,567927
SG,567928
SG,567929
SG,567930
SG,567931
SG,567932
SG,567933
SG,567934
SG,567935
SG,567936
SG,567937
SG,567938
SG,567939
SG,567940
SG,567941
SG,567942
SG,567943
SG,567944
SG,567945
SG,567946
SG,567947
SG,567948
SG,567949
SG,567950
SG,567951
SG,567952
SG,567953
SG,567954
SG,567955
SG,567956
SG,567957
SG,567958
SG,567959
SG,567960
